'년월'	'출발지(야간체류지) 시군코드'	'출발지역명'	'도착지 시군코드'	'도착지역명'	'10대남성 유입인구'	'20대남성 유입인구'	'30대남성 유입인구'	'40대남성 유입인구'	'50대남성 유입인구'	'60대남성 유입인구'	'70대남성 유입인구'	'10대여성 유입인구'	'20대여성 유입인구'	'30대여성 유입인구'	'40대여성 유입인구'	'50대여성 유입인구'	'60대여성 유입인구'	'70대여성 유입인구'
'202001 '	'26530'	'부산광역시 사상구'	'41270'	'경기도 안산시'	'5.62'	'6.91'	'8.49'	'4.28'	'6.66'	'3.77'	'0.46'	'3.09'	'6.93'	'1.89'	'6.53'	'4.65'	'1.46'	'5.05'
'202001 '	'26710'	'부산광역시 기장군'	'41270'	'경기도 안산시'	'2.39'	'2.75'	'4.91'	'4.87'	'3.81'	'2.38'	'0.09'	'2.6'	'1.66'	'4.12'	'2.02'	'3.38'	'1.68'	'0.38'
'202001 '	'27110'	'대구광역시 중구'	'41270'	'경기도 안산시'	'2.29'	'1.97'	'2.38'	'2.52'	'3.02'	'0.76'	'0.11'	'0.61'	'1.9'	'0.3'	'1.6'	'0.8'	'1.67'	'0.92'
'202001 '	'27140'	'대구광역시 동구'	'41270'	'경기도 안산시'	'2.73'	'8.87'	'12.24'	'11.22'	'15.17'	'6.94'	'1.95'	'2.96'	'5.28'	'6.06'	'4.57'	'5.63'	'4.39'	'1.84'
'202001 '	'26110'	'부산광역시 중구'	'41270'	'경기도 안산시'	'0'	'1.06'	'0.97'	'0.43'	'0.49'	'0.92'	'0.11'	'0'	'0.27'	'0'	'0.16'	'0'	'0'	'0'
'202001 '	'26140'	'부산광역시 서구'	'41270'	'경기도 안산시'	'1.62'	'4.96'	'2.06'	'3.71'	'7.32'	'2.38'	'0.29'	'7.53'	'2.68'	'0.9'	'2.52'	'0.69'	'0.23'	'0.31'
'202001 '	'26170'	'부산광역시 동구'	'41270'	'경기도 안산시'	'0'	'0.48'	'6.4'	'4.36'	'11.3'	'2.91'	'0.43'	'0.39'	'0.18'	'0.27'	'0.31'	'0.72'	'0.87'	'0.46'
'202001 '	'26200'	'부산광역시 영도구'	'41270'	'경기도 안산시'	'5.27'	'9.28'	'4.77'	'5.5'	'9.93'	'3.22'	'0.24'	'0.48'	'3.77'	'2.97'	'1.26'	'2.08'	'0.66'	'3.03'
'202001 '	'26230'	'부산광역시 부산진구'	'41270'	'경기도 안산시'	'6.19'	'6.66'	'10.24'	'15.65'	'16.48'	'5.8'	'1.13'	'8.15'	'6.62'	'6.5'	'4'	'7.85'	'2.68'	'3.63'
'202001 '	'26260'	'부산광역시 동래구'	'41270'	'경기도 안산시'	'1.87'	'2.78'	'3.57'	'5.51'	'11.81'	'5.25'	'2.21'	'4.44'	'6.18'	'3.99'	'2.99'	'4.29'	'2.63'	'1.52'
'202001 '	'26290'	'부산광역시 남구'	'41270'	'경기도 안산시'	'4.64'	'7.79'	'8.22'	'8.23'	'9.25'	'6.13'	'0.94'	'3.86'	'7.17'	'3.77'	'5.25'	'3.87'	'4.21'	'4.49'
'202001 '	'26320'	'부산광역시 북구'	'41270'	'경기도 안산시'	'2.85'	'3.02'	'6.55'	'8.41'	'10.72'	'4.37'	'0.81'	'4.99'	'5.14'	'2.3'	'4.64'	'3.32'	'2.77'	'0.97'
'202001 '	'26350'	'부산광역시 해운대구'	'41270'	'경기도 안산시'	'12.74'	'23.31'	'9.59'	'9.43'	'19.35'	'8.06'	'1.04'	'19.66'	'6.83'	'7.63'	'7.66'	'8.32'	'3.43'	'1.56'
'202001 '	'26380'	'부산광역시 사하구'	'41270'	'경기도 안산시'	'3.8'	'5.45'	'7.27'	'14.69'	'13.33'	'4.76'	'1.6'	'8.98'	'7.74'	'2.97'	'3.73'	'1.21'	'1.19'	'0.7'
'202001 '	'26410'	'부산광역시 금정구'	'41270'	'경기도 안산시'	'3.58'	'12.23'	'4.17'	'10.57'	'7.24'	'6.31'	'2.03'	'8.38'	'4.04'	'2.94'	'4.57'	'4.28'	'3.02'	'1.4'
'202001 '	'11470'	'서울특별시 양천구'	'41270'	'경기도 안산시'	'68.31'	'102.14'	'225.65'	'301.3'	'322.83'	'118.78'	'21.78'	'55.51'	'67'	'82.23'	'111.62'	'121.53'	'40.18'	'24.19'
'202001 '	'11500'	'서울특별시 강서구'	'41270'	'경기도 안산시'	'66.13'	'116.97'	'245.88'	'228.22'	'223.74'	'100.77'	'19.64'	'76.18'	'93.84'	'103.39'	'89.73'	'99.75'	'49.26'	'24.38'
'202001 '	'26440'	'부산광역시 강서구'	'41270'	'경기도 안산시'	'2.22'	'4.47'	'6.05'	'7.67'	'6.15'	'2.24'	'0'	'1'	'0.46'	'2.87'	'1.57'	'1.13'	'0.93'	'0.11'
'202001 '	'26470'	'부산광역시 연제구'	'41270'	'경기도 안산시'	'1.05'	'3.02'	'4.32'	'5.78'	'5.09'	'3.25'	'1.02'	'1.43'	'5.7'	'2.43'	'2.08'	'2.29'	'1.33'	'0.55'
'202001 '	'26500'	'부산광역시 수영구'	'41270'	'경기도 안산시'	'0.72'	'4.67'	'4.02'	'2.22'	'5.68'	'1.12'	'0.62'	'1.47'	'3'	'3.07'	'1.16'	'2.64'	'0.87'	'0.41'
'202001 '	'28200'	'인천광역시 남동구'	'41270'	'경기도 안산시'	'172.53'	'376.51'	'1021.21'	'1105.56'	'795.52'	'255.41'	'53.85'	'163.5'	'200.62'	'333.63'	'347.16'	'309.47'	'88.99'	'40.15'
'202001 '	'28237'	'인천광역시 부평구'	'41270'	'경기도 안산시'	'110.97'	'210.56'	'451.61'	'460.75'	'432.45'	'167.53'	'34.73'	'94.69'	'129.66'	'151.93'	'156'	'141.11'	'61.43'	'35.17'
'202001 '	'29155'	'광주광역시 남구'	'41270'	'경기도 안산시'	'2.68'	'6.22'	'11.01'	'11.25'	'7.43'	'4.14'	'0.94'	'9.57'	'7.82'	'4.53'	'4.84'	'4.14'	'4.78'	'3.86'
'202001 '	'29170'	'광주광역시 북구'	'41270'	'경기도 안산시'	'19.09'	'20.69'	'17.91'	'26.65'	'20.32'	'8.35'	'2.78'	'15.03'	'17.09'	'10.33'	'13.23'	'9.55'	'7.87'	'4.36'
'202001 '	'29200'	'광주광역시 광산구'	'41270'	'경기도 안산시'	'22.31'	'15.4'	'26.69'	'41.22'	'29.14'	'10.12'	'1.65'	'18.24'	'11.72'	'13.01'	'14.17'	'11.61'	'3.59'	'5.89'
'202001 '	'30110'	'대전광역시 동구'	'41270'	'경기도 안산시'	'9.63'	'33.56'	'23.51'	'23.13'	'35.53'	'10.69'	'1.94'	'5.42'	'41.62'	'7.79'	'9.17'	'12.29'	'7.97'	'2.76'
'202001 '	'30140'	'대전광역시 중구'	'41270'	'경기도 안산시'	'8.69'	'15.47'	'16.39'	'15.69'	'15.39'	'9.3'	'1.57'	'14.91'	'15.69'	'8.33'	'11.51'	'10.39'	'6.22'	'6.85'
